Geographic Area,Daily Cases,Total  Confirmed Cases,Recovered by Region,Still infectious by Region,Number of Deaths,Date
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,19,1797,1630,152,15,"December 9, 2020"
CITY OF GOLETA,6,423,380,38,5,"December 9, 2020"
COMMUNITY OF ISLA VISTA,0,555,538,16,1,"December 9, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,6,344,309,32,3,"December 9, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",4,280,244,29,7,"December 9, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,19,1316,1202,105,9,"December 9, 2020"
FEDERAL PRISON IN LOMPOC,2,1031,1024,4,3,"December 9, 2020"
CITY OF SANTA MARIA,48,4941,4656,210,75,"December 9, 2020"
COMMUNITY OF ORCUTT,10,588,524,57,7,"December 9, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",5,540,517,16,7,"December 9, 2020"
Out of County,,,0,0,0,"December 9, 2020"
Pending,9,484,427,57,,"December 9, 2020"
Total** ,134,12636,11746,751,139,"December 9, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",6,337,295,35,7,"December 9, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,19,1797,1630,152,15,"December 9, 2020"
CITY OF GOLETA,6,423,380,38,5,"December 9, 2020"
COMMUNITY OF ISLA VISTA,0,555,538,16,1,"December 9, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,6,344,309,32,3,"December 9, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",4,280,244,29,7,"December 9, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,19,1316,1202,105,9,"December 9, 2020"
FEDERAL PRISON IN LOMPOC,2,1031,1024,4,3,"December 9, 2020"
CITY OF SANTA MARIA,48,4941,4656,210,75,"December 9, 2020"
COMMUNITY OF ORCUTT,10,588,524,57,7,"December 9, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",5,540,517,16,7,"December 9, 2020"
Out of County,,,0,0,0,"December 9, 2020"
Pending,9,484,427,57,,"December 9, 2020"
Total** ,134,12636,11746,751,139,"December 9, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",4,331,293,31,7,"December 8, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,24,1778,1618,145,15,"December 8, 2020"
CITY OF GOLETA,3,417,375,37,5,"December 8, 2020"
COMMUNITY OF ISLA VISTA,2,555,534,20,1,"December 8, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,4,338,307,28,3,"December 8, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",5,276,240,29,7,"December 8, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,22,1297,1184,104,9,"December 8, 2020"
FEDERAL PRISON IN LOMPOC,0,1029,1024,2,3,"December 8, 2020"
CITY OF SANTA MARIA,38,4893,4634,184,75,"December 8, 2020"
COMMUNITY OF ORCUTT,15,578,517,54,7,"December 8, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",4,535,516,12,7,"December 8, 2020"
Out of County,,,0,0,0,"December 8, 2020"
Pending,4,475,421,54,,"December 8, 2020"
Total** ,125,12502,11663,700,139,"December 8, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",8,327,290,30,7,"December 7, 2020"
